P=0.24999999999975, blue=500000000000, delta=500000000000
P=9.828200000009828e-20, blue=-313.0, delta=1.0
P=9.891000000009891e-20, blue=-314.0, delta=1.0
P=9.954000000009954e-20, blue=-315.0, delta=1.0
P=1.0017200000010017e-19, blue=-316.0, delta=1.0
P=1.008060000001008e-19, blue=-317.0, delta=1.0
P=1.0144200000010144e-19, blue=-318.0, delta=1.0
P=1.0208000000010207e-19, blue=-319.0, delta=1.0
P=1.027200000001027e-19, blue=-320.0, delta=1.0
P=1.0336200000010335e-19, blue=-321.0, delta=1.0
P=1.0400600000010401e-19, blue=-322.0, delta=1.0
P=1.0465200000010467e-19, blue=-323.0, delta=1.0
P=1.053000000001053e-19, blue=-324.0, delta=1.0
P=1.0595000000010596e-19, blue=-325.0, delta=1.0
P=1.0660200000010661e-19, blue=-326.0, delta=1.0
P=1.0725600000010726e-19, blue=-327.0, delta=1.0
P=1.0791200000010792e-19, blue=-328.0, delta=1.0
P=1.0857000000010858e-19, blue=-329.0, delta=1.0
P=1.0923000000010923e-19, blue=-330.0, delta=1.0
P=1.098920000001099e-19, blue=-331.0, delta=1.0
P=1.1055600000011054e-19, blue=-332.0, delta=1.0
P=1.1122200000011123e-19, blue=-333.0, delta=1.0
P=1.1189000000011187e-19, blue=-334.0, delta=1.0
P=1.1256000000011256e-19, blue=-335.0, delta=1.0
P=1.1323200000011323e-19, blue=-336.0, delta=1.0
P=1.139060000001139e-19, blue=-337.0, delta=1.0
P=1.145820000001146e-19, blue=-338.0, delta=1.0
P=1.1526000000011527e-19, blue=-339.0, delta=1.0
P=1.1594000000011596e-19, blue=-340.0, delta=1.0
P=1.1662200000011663e-19, blue=-341.0, delta=1.0
P=1.173060000001173e-19, blue=-342.0, delta=1.0
P=1.1799200000011799e-19, blue=-343.0, delta=1.0
P=1.1868000000011867e-19, blue=-344.0, delta=1.0
P=1.1937000000011938e-19, blue=-345.0, delta=1.0
P=1.2006200000012006e-19, blue=-346.0, delta=1.0
P=1.2075600000012075e-19, blue=-347.0, delta=1.0
P=1.2145200000012145e-19, blue=-348.0, delta=1.0
P=1.2215000000012214e-19, blue=-349.0, delta=1.0
P=1.2285000000012284e-19, blue=-350.0, delta=1.0
P=1.2355200000012354e-19, blue=-351.0, delta=1.0
P=1.2425600000012426e-19, blue=-352.0, delta=1.0
